,ProbablyMeantGSTerm,SemanticType,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,adjustedQueryTerm,preferredTerm,ui
93,asperger syndrome,Mental or Behavioral Dysfunction,93,93,93,93,93,93,93,asperges syndrome,Asperger Syndrome,C0236792
99,anxiety,Mental or Behavioral Dysfunction,99,99,99,99,99,99,99,anxity,Anxiety,C0003467
102,anorexia nervosa,Mental or Behavioral Dysfunction,102,102,102,102,102,102,102,anorexia nerviosa,Anorexia Nervosa,C0003125
121,transient global amnesia,Mental or Behavioral Dysfunction,121,121,121,121,121,121,121,transient global amnesia case,"Amnesia, Transient Global",C0338591
151,bruxism,Mental or Behavioral Dysfunction,151,151,151,151,151,151,151,bruxismo,Bruxism,C0006325
156,burnout syndrome,Mental or Behavioral Dysfunction,156,156,156,156,156,156,156,burnout syndrom,Burnout syndrome,C1696945
159,pedophilia,Mental or Behavioral Dysfunction,159,159,159,159,159,159,159,pädophilia,Pedophilia,C0030764
178,capgras syndrome,Mental or Behavioral Dysfunction,178,178,178,178,178,178,178,capgra syndrome,Capgras Syndrome,C0006895
181,transient global amnesia,Mental or Behavioral Dysfunction,181,181,181,181,181,181,181,case transient global amnesia,"Amnesia, Transient Global",C0338591
193,cognitive impairment,Mental or Behavioral Dysfunction,193,193,193,193,193,193,193,cognitive impairment uci,Impaired cognition,C0338656
206,schizophrenia,Mental or Behavioral Dysfunction,206,206,206,206,206,206,206,shizophrenia,Schizophrenia,C0036341
238,schizophrenia,Mental or Behavioral Dysfunction,238,238,238,238,238,238,238,schizophernia,Schizophrenia,C0036341
241,depression,Mental or Behavioral Dysfunction,241,241,241,241,241,241,241,depession,Mental Depression,C0011570
246,dementia,Mental or Behavioral Dysfunction,246,246,246,246,246,246,246,dementiah,Presenile dementia,C0011265
356,generalized anxiety disorder,Mental or Behavioral Dysfunction,356,356,356,356,356,356,356,general anxiety disorder,Generalized Anxiety Disorder,C0270549
380,autistic spectrum disorders,Mental or Behavioral Dysfunction,380,380,380,380,380,380,380,autistic spectrum disored,Pervasive Development Disorder,C0524528
504,nicotine addiction,Mental or Behavioral Dysfunction,504,504,504,504,504,504,504,nicotiene addiction,Nicotine Dependence,C0028043
704,mental illness,Mental or Behavioral Dysfunction,704,704,704,704,704,704,704,mental ilnesses,Mental disorders,C0004936
755,compassion fatigue,Mental or Behavioral Dysfunction,755,755,755,755,755,755,755,compassion fatıgue,Compassion Fatigue,C4042834
814,alcoholism,Mental or Behavioral Dysfunction,814,814,814,814,814,814,814,alcoolisme,"Alcoholic Intoxication, Chronic",C0001973
827,verbal auditory agnosia,Mental or Behavioral Dysfunction,827,827,827,827,827,827,827,verbal auditori agnosia,"verbal; agnosia, auditory",C1387043
894,transient global amnesia,Mental or Behavioral Dysfunction,894,894,894,894,894,894,894,transient global anemia,"Amnesia, Transient Global",C0338591
941,opioid use disorder,Mental or Behavioral Dysfunction,941,941,941,941,941,941,941,opiod use disorder,Opioid use disorder,C4324621
943,performance anxiety,Mental or Behavioral Dysfunction,943,943,943,943,943,943,943,performance anmxiety,Performance anxiety,C0458631
1027,panic disorder,Mental or Behavioral Dysfunction,1027,1027,1027,1027,1027,1027,1027,panic disoder,Panic Disorder,C0030319
1028,panic disorder,Mental or Behavioral Dysfunction,1028,1028,1028,1028,1028,1028,1028,panix disorder,Panic Disorder,C0030319
1046,pathological intoxication,Mental or Behavioral Dysfunction,1046,1046,1046,1046,1046,1046,1046,pathological and intoxiccation,Idiosyncratic intoxication,C0001950
1301,memory and disorder,Mental or Behavioral Dysfunction,1301,1301,1301,1301,1301,1301,1301,memory adj2 disorder,Memory Disorders,C0025261
1302,memory and disorder,Mental or Behavioral Dysfunction,1302,1302,1302,1302,1302,1302,1302,memory adj3 disorder,Memory Disorders,C0025261
1303,memory and disorder,Mental or Behavioral Dysfunction,1303,1303,1303,1303,1303,1303,1303,memory adj34 disorder,Memory Disorders,C0025261
1304,memory and disorder,Mental or Behavioral Dysfunction,1304,1304,1304,1304,1304,1304,1304,memory adj4 disorder,Memory Disorders,C0025261
1499,social anxiety disorder,Mental or Behavioral Dysfunction,1499,1499,1499,1499,1499,1499,1499,social amxiety disorder,"Phobia, Social",C0031572
1508,somatic symptom disorder,Mental or Behavioral Dysfunction,1508,1508,1508,1508,1508,1508,1508,somatid symptom disorder,Somatic symptom disorder,C4087321
1518,stuttering,Mental or Behavioral Dysfunction,1518,1518,1518,1518,1518,1518,1518,stuttring,Stuttering,C0038506
1681,personality,Mental or Behavioral Dysfunction,1681,1681,1681,1681,1681,1681,1681,pseronality,As If Personality,C0003944
1701,psychopath,Mental or Behavioral Dysfunction,1701,1701,1701,1701,1701,1701,1701,psychopathe,Antisocial Personality Disorder,C0003431
1757,learning disabilities,Mental or Behavioral Dysfunction,1757,1757,1757,1757,1757,1757,21,learn disabilities,Learning Disabilities,C0751265
1821,child abuse,Mental or Behavioral Dysfunction,1821,1821,1821,1821,1821,1821,85,child abuce,child abuse behavior,C0008060
1931,alcoholism,Mental or Behavioral Dysfunction,1931,1931,1931,1931,1931,66,,polio vaccine,"Alcoholic Intoxication, Chronic",C0001973
2016,alcoholism,Mental or Behavioral Dysfunction,2016,2016,2016,2016,31,,,embryogenesis of the lung,"Alcoholic Intoxication, Chronic",C0001973
2107,intellectual disability,Mental or Behavioral Dysfunction,2107,2107,2107,10,,,,sbdf,Intellectual Disability,C3714756
2172,anorexia nervosa,Mental or Behavioral Dysfunction,2172,2172,2172,75,,,,faye abdellah,Anorexia Nervosa,C0003125
2203,phobic disorders,Mental or Behavioral Dysfunction,2203,2203,2203,106,,,,prodrug,Phobic anxiety disorder,C0349231
2310,bipolar disorder,Mental or Behavioral Dysfunction,2310,2310,31,,,,,redox signaling,Bipolar Disorder,C0005586
2434,panic disorder,Mental or Behavioral Dysfunction,2434,2434,155,,,,,huangcz,Panic Disorder,C0030319
2547,neurocognitive disorders,Mental or Behavioral Dysfunction,2547,110,,,,,,plos,"Delirium, Dementia, Amnestic, Cognitive Disorders",C0029227
2554,gender dysphoria,Mental or Behavioral Dysfunction,2554,117,,,,,,lahore,Gender Dysphoria,C0686346
2576,mental illness,Mental or Behavioral Dysfunction,2576,139,,,,,,hyl1,Mental disorders,C0004936
2592,mood disorders,Mental or Behavioral Dysfunction,2592,155,,,,,,ancient greek medicine,Mood Disorders,C0525045
2594,self-injury,Mental or Behavioral Dysfunction,2594,157,,,,,,gan yi,Self-Injurious Behavior,C0085271
2764,neurocognitive disorders,Mental or Behavioral Dysfunction,124,,,,,,,cellta,"Delirium, Dementia, Amnestic, Cognitive Disorders",C0029227
2773,clinical depression,Mental or Behavioral Dysfunction,133,,,,,,,apoplejia,clinical depression,C2362914
2778,schizophrenia,Mental or Behavioral Dysfunction,138,,,,,,,recurrent abortion,Schizophrenia,C0036341
80,alcohol abuse,Mental or Behavioral Dysfunction,,,,,,,,the horrors of war,Alcohol abuse,C0085762
118,post partum depression,Mental or Behavioral Dysfunction,,,,,,,,lateral subcutaneous brow lift,"Depression, Postpartum",C0221074
121,bullying,Mental or Behavioral Dysfunction,,,,,,,,idoso,Bullying,C0424318
127,social anxiety disorder,Mental or Behavioral Dysfunction,,,,,,,,ambroise pare,"Phobia, Social",C0031572
152,mental illness,Mental or Behavioral Dysfunction,,,,,,,,alveolar bone,Mental disorders,C0004936
128,mindfulness,Mental Process,128,128,128,128,128,128,128,mindfullness,Mental concentration,C0086045
208,comprehension,Mental Process,208,208,208,208,208,208,208,comprehesion,Comprehension,C0162340
500,nonverbal communication,Mental Process,500,500,500,500,500,500,500,non verbal communication,Nonverbal Communication,C0028325
501,nonverbal communication,Mental Process,501,501,501,501,501,501,501,non-verbally communication,Nonverbal Communication,C0028325
502,nonverbal communication,Mental Process,502,502,502,502,502,502,502,non-verbal communication,Nonverbal Communication,C0028325
670,proprioception,Mental Process,670,670,670,670,670,670,670,propriocetion,Proprioception,C0033499
890,executive function,Mental Process,890,890,890,890,890,890,890,executive funcions,Executive Function,C0935584
931,nonverbal communication,Mental Process,931,931,931,931,931,931,931,nonverbal comunication,Nonverbal Communication,C0028325
955,perception,Mental Process,955,955,955,955,955,955,955,percepcion,Perception,C0030971
1349,mindfulness,Mental Process,1349,1349,1349,1349,1349,1349,1349,mindfuness,Mental concentration,C0086045
1350,mindfulness,Mental Process,1350,1350,1350,1350,1350,1350,1350,minfullness,Mental concentration,C0086045
1351,mindfulness,Mental Process,1351,1351,1351,1351,1351,1351,1351,mind fulness,Mental concentration,C0086045
1716,proprioception,Mental Process,1716,1716,1716,1716,1716,1716,1716,proprioreception,Proprioception,C0033499
1752,mental health,Mental Process,1752,1752,1752,1752,1752,1752,16,e-mental-health,mental health,C0025353
1920,mindfulness,Mental Process,1920,1920,1920,1920,1920,55,,visual human,Mental concentration,C0086045
1937,shared decision making,Mental Process,1937,1937,1937,1937,1937,72,,charles drew,"Decision Making, Shared",C3179495
1947,awareness,Mental Process,1947,1947,1947,1947,1947,82,,ehr,Awareness,C0004448
2041,awareness,Mental Process,2041,2041,2041,2041,56,,,hydrogen water,Awareness,C0004448
2046,mindfulness,Mental Process,2046,2046,2046,2046,61,,,from dna to beer,Mental concentration,C0086045
2050,shared decision making,Mental Process,2050,2050,2050,2050,65,,,canser,"Decision Making, Shared",C3179495
2192,defense mechanisms of ego,Mental Process,2192,2192,2192,95,,,,renal failure ireland,Defense Mechanisms,C0011142
2246,cognitive function,Mental Process,2246,2246,2246,149,,,,marine biotechnology,Cognition,C0009240
2420,anger,Mental Process,2420,2420,141,,,,,anti vaxxers,Anger,C0002957
2780,executive function,Mental Process,140,,,,,,,emergencias 2010 22 384-394,Executive Function,C0935584
1589,whole genome sequencing,Molecular Biology Research Technique,1589,1589,1589,1589,1589,1589,1589,whole genome sequencing tb,Whole Genome Sequencing,C3640076
2565,genome editing,Molecular Biology Research Technique,2565,128,,,,,,lavado de manos,Genome Editing,C4279981
103,next generation sequencing,Molecular Biology Research Technique,,,,,,,,review article,Massively-Parallel Sequencing,C2936622
273,na/k pump,Molecular Function,273,273,273,273,273,273,273,na/kpump,sodium/potassium-exchanging ATPase activity,C1149024
661,na k pump,Molecular Function,661,661,661,661,661,661,661,nak pump,sodium/potassium-exchanging ATPase activity,C1149024
1686,protein phosphorylation,Molecular Function,1686,1686,1686,1686,1686,1686,1686,protain phosphorylation,Protein phosphorylation,C1158886
2211,glycogenesis,Molecular Function,2211,2211,2211,114,,,,source vocabularies,glycogenesis,C0596623
9,blast,Natural Phenomenon or Process,9,9,9,9,9,9,9,blastn,Blast (physical force),C0337026
44,blast,Natural Phenomenon or Process,44,44,44,44,44,44,44,blastp,Blast (physical force),C0337026
777,radiographic,Natural Phenomenon or Process,777,777,777,777,777,777,777,radiographics,Radiographic,C0444708
780,radiofrequency,Natural Phenomenon or Process,780,780,780,780,780,780,780,radiofrecuency,radiofrequency,C2347883
939,blast,Natural Phenomenon or Process,939,939,939,939,939,939,939,pblast,Blast (physical force),C0337026
1125,magnetic resonance,Natural Phenomenon or Process,1125,1125,1125,1125,1125,1125,1125,magnetresonance,Nuclear Magnetic Resonance,C0028580
1129,magnetic resonance,Natural Phenomenon or Process,1129,1129,1129,1129,1129,1129,1129,magnet resonance,Nuclear Magnetic Resonance,C0028580
1731,radiographic,Natural Phenomenon or Process,1731,1731,1731,1731,1731,1731,1731,radiographiics,Radiographic,C0444708
1734,radiofrequency,Natural Phenomenon or Process,1734,1734,1734,1734,1734,1734,1734,radiofrequecy,radiofrequency,C2347883
1735,radiofrequency,Natural Phenomenon or Process,1735,1735,1735,1735,1735,1735,1735,radiofrequencia,radiofrequency,C2347883
2327,blast,Natural Phenomenon or Process,2327,2327,48,,,,,acido folico,Blast (physical force),C0337026
2602,light,Natural Phenomenon or Process,2602,165,,,,,,eastwood ea,Light,C0023693
147,order,Natural Phenomenon or Process,,,,,,,,7980,Order [PK],C1373200
40,colorectal cancer,Neoplastic Process,40,40,40,40,40,40,40,colorectal cance,Colorectal Carcinoma,C0009402
52,lung cancer,Neoplastic Process,52,52,52,52,52,52,52,lungcancer,Malignant neoplasm of lung,C0242379
116,cancer testicular,Neoplastic Process,116,116,116,116,116,116,116,cáncer testicular,Malignant neoplasm of testis,C0153594
144,chocolate cysts,Neoplastic Process,144,144,144,144,144,144,144,chocoate cysts,Endometrioma,C0269102
155,retinoblastoma,Neoplastic Process,155,155,155,155,155,155,155,retinoblastom,Retinoblastoma,C0035335
165,cervical cancer,Neoplastic Process,165,165,165,165,165,165,165,cervical cancercer,Malignant tumor of cervix,C0007847
220,skin cancer,Neoplastic Process,220,220,220,220,220,220,220,ski cacer,Malignant neoplasm of skin,C0007114
235,sarcoma histiocytic,Neoplastic Process,235,235,235,235,235,235,235,sarcoma histiocitico,Histiocytic sarcoma,C0334663
287,lung cancer,Neoplastic Process,287,287,287,287,287,287,287,lung canser,Malignant neoplasm of lung,C0242379
315,prostate cancer,Neoplastic Process,315,315,315,315,315,315,315,protstate cancer,Malignant neoplasm of prostate,C0376358
337,squamous cell carcinoma,Neoplastic Process,337,337,337,337,337,337,337,oral squamous cell carcinoma,Squamous cell carcinoma,C0007137
345,head and neck cancer,Neoplastic Process,345,345,345,345,345,345,345,had and neck cancer,Malignant Head and Neck Neoplasm,C0278996
367,thyroid cancer,Neoplastic Process,367,367,367,367,367,367,367,tyroied cancer,Malignant neoplasm of thyroid,C0007115
464,neck tumors,Neoplastic Process,464,464,464,464,464,464,464,necktumors,Neck Neoplasms,C0027533
475,neoplasm,Neoplastic Process,475,475,475,475,475,475,475,neoplasma,Neoplasms,C0027651
495,non hodgkin lymphoma,Neoplastic Process,495,495,495,495,495,495,495,non hodgkin lympymphoma,"Lymphoma, Non-Hodgkin",C0024305
496,non hodgkins lymphoma,Neoplastic Process,496,496,496,496,496,496,496,non hodgikins lympymphoma,"Lymphoma, Non-Hodgkin",C0024305
573,breast cancer,Neoplastic Process,573,573,573,573,573,573,573,brest cancer,Malignant neoplasm of breast,C0006142
579,brain tumor,Neoplastic Process,579,579,579,579,579,579,579,brian tumor,Brain Neoplasms,C0006118
594,cerebellar neoplasms,Neoplastic Process,594,594,594,594,594,594,594,cerebeller neoplasms,Cerebellar Neoplasms,C0007762
601,prostate cancer,Neoplastic Process,601,601,601,601,601,601,601,prostata cancer,Malignant neoplasm of prostate,C0376358
671,multiple myeloma,Neoplastic Process,671,671,671,671,671,671,671,multiples myelom,Multiple Myeloma,C0026764
728,retinoblastoma,Neoplastic Process,728,728,728,728,728,728,728,retinoblatoma,Retinoblastoma,C0035335
751,cerebellar tumor,Neoplastic Process,751,751,751,751,751,751,751,cerebell ar tumor,Cerebellar Neoplasms,C0007762
775,fibroadenoma,Neoplastic Process,775,775,775,775,775,775,775,fibroadenom,Fibroadenoma of breast,C0178421
781,brain cancer,Neoplastic Process,781,781,781,781,781,781,781,brain caner,Malignant neoplasm of brain,C0153633
785,myelofibrosis,Neoplastic Process,785,785,785,785,785,785,785,mielofibrosis,Primary Myelofibrosis,C0001815
855,nasopharyngeal carcinoma,Neoplastic Process,855,855,855,855,855,855,855,ebv nasopharyngeal carcinoma,Nasopharyngeal carcinoma,C2931822
877,osteosarcoma,Neoplastic Process,877,877,877,877,877,877,877,osteosacoma,Osteosarcoma,C0029463
896,prostate cancer,Neoplastic Process,896,896,896,896,896,896,896,prostrate cancer,Malignant neoplasm of prostate,C0376358
972,oral kaposi sarcoma,Neoplastic Process,972,972,972,972,972,972,972,oral kaposy sarcoma,Kaposi's sarcoma of palate,C0153562
982,orbit lymphoma,Neoplastic Process,982,982,982,982,982,982,982,orbit limphoma,Orbital lymphoma,C0271333
992,papillomatosis,Neoplastic Process,992,992,992,992,992,992,992,papilomatosis,Papillomatosis,C0205875
1032,pancreatic cancer,Neoplastic Process,1032,1032,1032,1032,1032,1032,1032,pancreatic cancer tc,Pancreatic carcinoma,C0235974
1087,lymphangioleiomyomatosis,Neoplastic Process,1087,1087,1087,1087,1087,1087,1087,lymphoangioleyomiomatosis,Lymphangioleiomyomatosis,C0751674
1091,lynch syndrome,Neoplastic Process,1091,1091,1091,1091,1091,1091,1091,lynch syndromes,Hereditary Nonpolyposis Colorectal Cancer,C1333990
1092,lymphangioleiomyomatosis,Neoplastic Process,1092,1092,1092,1092,1092,1092,1092,lynphoangioleiomiomatosis,Lymphangioleiomyomatosis,C0751674
1097,squamous cell carcinoma,Neoplastic Process,1097,1097,1097,1097,1097,1097,1097,lung squamous cell carcinoma,Squamous cell carcinoma,C0007137
1100,liver cancer,Neoplastic Process,1100,1100,1100,1100,1100,1100,1100,liver canver,Adult Liver Carcinoma,C0220630
1103,liver cancer,Neoplastic Process,1103,1103,1103,1103,1103,1103,1103,livercancer,Adult Liver Carcinoma,C0220630
1105,liver cancer,Neoplastic Process,1105,1105,1105,1105,1105,1105,1105,liver cncer,Adult Liver Carcinoma,C0220630
1177,leiomyosarcoma,Neoplastic Process,1177,1177,1177,1177,1177,1177,1177,leyomyosarcoma,leiomyosarcoma,C0023269
1182,lipoma,Neoplastic Process,1182,1182,1182,1182,1182,1182,1182,lipom,Lipoma,C0023798
1195,leukemia stem cell,Neoplastic Process,1195,1195,1195,1195,1195,1195,1195,leukemic stem cells,Acute Undifferentiated Leukemia,C0280141
1196,leukemia,Neoplastic Process,1196,1196,1196,1196,1196,1196,1196,leukmia,leukemia,C0023418
1197,leukoplakia,Neoplastic Process,1197,1197,1197,1197,1197,1197,1197,leukoplalia,Leukoplakia,C0023531
1208,mucoepidermoid carcinoma,Neoplastic Process,1208,1208,1208,1208,1208,1208,1208,mucoepidermoid adenocarcinoma,Mucoepidermoid Carcinoma,C0206694
1213,multiple myeloma,Neoplastic Process,1213,1213,1213,1213,1213,1213,1213,multipe myeloma,Multiple Myeloma,C0026764
1217,myelodysplastic syndromes,Neoplastic Process,1217,1217,1217,1217,1217,1217,1217,myelodysplastic syndromes usa,Childhood Myelodysplastic Syndrome,C2347761
1218,myelodysplastic syndrome,Neoplastic Process,1218,1218,1218,1218,1218,1218,1218,myeloid dysplastic syndrome,Childhood Myelodysplastic Syndrome,C2347761
1222,myelodysplastic syndrome,Neoplastic Process,1222,1222,1222,1222,1222,1222,1222,myelo dysplastic syndrome,Childhood Myelodysplastic Syndrome,C2347761
1224,myelodysplastic syndrome,Neoplastic Process,1224,1224,1224,1224,1224,1224,1224,myelo displastic syndrome,Childhood Myelodysplastic Syndrome,C2347761
1234,multiple myeloma,Neoplastic Process,1234,1234,1234,1234,1234,1234,1234,mutiple myeloma,Multiple Myeloma,C0026764
1251,monoclonal gammopathy,Neoplastic Process,1251,1251,1251,1251,1251,1251,1251,monoclonal gamopathy,Monoclonal Gammopathy of Undetermined Significance,C0026470
1270,neurofibromatosis,Neoplastic Process,1270,1270,1270,1270,1270,1270,1270,neurofibromatoss,Neurofibromatosis 1,C0027831
1273,neurofibromatosis,Neoplastic Process,1273,1273,1273,1273,1273,1273,1273,neufibromatosis,Neurofibromatosis 1,C0027831
1275,neoplasms,Neoplastic Process,1275,1275,1275,1275,1275,1275,1275,neoplams,Neoplasms,C0027651
1276,neoplasm,Neoplastic Process,1276,1276,1276,1276,1276,1276,1276,neoplas,Neoplasms,C0027651
1280,neoplasm,Neoplastic Process,1280,1280,1280,1280,1280,1280,1280,neplasm,Neoplasms,C0027651
1300,meningioma,Neoplastic Process,1300,1300,1300,1300,1300,1300,1300,menangioma,Meningioma,C0025286
1309,medulloblastoma,Neoplastic Process,1309,1309,1309,1309,1309,1309,1309,meduloblastoma,Medulloblastoma,C0025149
1378,metastatic brain cancer,Neoplastic Process,1378,1378,1378,1378,1378,1378,1378,metastataic brain cancer,Metastatic malignant neoplasm to brain,C0220650
1463,the cancer,Neoplastic Process,1463,1463,1463,1463,1463,1463,1463,the lancer,Malignant Neoplasms,C0006826
1477,spindle cell carcinoma,Neoplastic Process,1477,1477,1477,1477,1477,1477,1477,spindle cell sarcinoma,"Carcinoma, Spindle-Cell",C0205697
1536,stomach neoplasia,Neoplastic Process,1536,1536,1536,1536,1536,1536,1536,stomach neolasia,Stomach Neoplasms,C0038356
1606,tumor,Neoplastic Process,1606,1606,1606,1606,1606,1606,1606,tumore,Neoplasms,C0027651
1617,thyroid nodule,Neoplastic Process,1617,1617,1617,1617,1617,1617,1617,tyroide nodule,Thyroid Nodule,C0040137
1642,trichodiscoma,Neoplastic Process,1642,1642,1642,1642,1642,1642,1642,tricodiscom,Fibrofolliculoma,C0346011
1652,venous angioma,Neoplastic Process,1652,1652,1652,1652,1652,1652,1652,venous anginoma,Venous hemangioma,C0334532
1685,proteus syndrome,Neoplastic Process,1685,1685,1685,1685,1685,1685,1685,protease syndrome,Proteus Syndrome,C0085261
1720,prostate cancer,Neoplastic Process,1720,1720,1720,1720,1720,1720,1720,prostat cancer,Malignant neoplasm of prostate,C0376358
1736,leukemia,Neoplastic Process,1736,1736,1736,1736,1736,1736,0,leukaemia,leukemia,C0023418
1743,stomach neoplasms,Neoplastic Process,1743,1743,1743,1743,1743,1743,7,stomachneoplasms,Stomach Neoplasms,C0038356
1746,burkitt lymphoma,Neoplastic Process,1746,1746,1746,1746,1746,1746,10,burkitts lymphoma,Burkitt Lymphoma,C0006413
1811,oral leucoplakia,Neoplastic Process,1811,1811,1811,1811,1811,1811,75,oral leukoplakia,"Leukoplakia, Oral",C0023532
1833,kidney tumor,Neoplastic Process,1833,1833,1833,1833,1833,1833,97,kidney tumors,Kidney Neoplasm,C0022665
1855,pheochromocytoma,Neoplastic Process,1855,1855,1855,1855,1855,1855,119,pheocromocytoma,Pheochromocytoma,C0031511
1864,acute leukemia,Neoplastic Process,1864,1864,1864,1864,1864,1864,128,acute leukamia,Acute leukemia,C0085669
1884,liver neoplasms,Neoplastic Process,1884,1884,1884,1884,1884,19,,canan karatay,Liver neoplasms,C0023903
1890,liver cancer,Neoplastic Process,1890,1890,1890,1890,1890,25,,tty,Adult Liver Carcinoma,C0220630
1918,lung adenocarcinoma,Neoplastic Process,1918,1918,1918,1918,1918,53,,proulx,Adenocarcinoma of lung (disorder),C0152013
1922,lung cancer,Neoplastic Process,1922,1922,1922,1922,1922,57,,learn about drugs,Malignant neoplasm of lung,C0242379
1935,prostatic neoplasms,Neoplastic Process,1935,1935,1935,1935,1935,70,,paul teirstein,Prostatic Neoplasms,C0033578
1957,uterine fibroids,Neoplastic Process,1957,1957,1957,1957,1957,92,,keto,Uterine Fibroids,C0042133
1962,breast cancer,Neoplastic Process,1962,1962,1962,1962,1962,97,,edwin smith papyrus,Malignant neoplasm of breast,C0006142
2019,lung adenocarcinoma,Neoplastic Process,2019,2019,2019,2019,34,,,reflection,Adenocarcinoma of lung (disorder),C0152013
2021,lung cancer,Neoplastic Process,2021,2021,2021,2021,36,,,jernigan,Malignant neoplasm of lung,C0242379
2026,liver neoplasms,Neoplastic Process,2026,2026,2026,2026,41,,,sindrome compartimental,Liver neoplasms,C0023903
2027,liver cancer,Neoplastic Process,2027,2027,2027,2027,42,,,virtual anatomy,Adult Liver Carcinoma,C0220630
2028,uterine fibroids,Neoplastic Process,2028,2028,2028,2028,43,,,yuliang li,Uterine Fibroids,C0042133
2076,breast cancer,Neoplastic Process,2076,2076,2076,2076,91,,,native american medicine,Malignant neoplasm of breast,C0006142
2079,prostatic neoplasms,Neoplastic Process,2079,2079,2079,2079,94,,,people locator,Prostatic Neoplasms,C0033578
2109,b cell lymphoma,Neoplastic Process,2109,2109,2109,12,,,,health web surfing,B-Cell Lymphomas,C0079731
2144,breast cancer,Neoplastic Process,2144,2144,2144,47,,,,bemer therapy,Malignant neoplasm of breast,C0006142
2182,uterine fibroids,Neoplastic Process,2182,2182,2182,85,,,,bartons fracture and plating,Uterine Fibroids,C0042133
2236,squamous cell carcinoma,Neoplastic Process,2236,2236,2236,139,,,,john snow,Squamous cell carcinoma,C0007137
2370,leukemia,Neoplastic Process,2370,2370,91,,,,,urine formation,leukemia,C0023418
2387,glioblastoma,Neoplastic Process,2387,2387,108,,,,,influenza 1918,Glioblastoma,C0017636
2394,polycythemia vera,Neoplastic Process,2394,2394,115,,,,,the yellow paper,Polycythemia Vera,C0032463
2432,gammapathy monoclonal,Neoplastic Process,2432,2432,153,,,,,total knee,Monoclonal Gammapathies,C1136085
2448,breast cancer,Neoplastic Process,2448,11,,,,,,ivu contrast,Malignant neoplasm of breast,C0006142
2475,tuberous sclerosis,Neoplastic Process,2475,38,,,,,,surgical technologist,Tuberous Sclerosis,C0041341
2509,lung cancer,Neoplastic Process,2509,72,,,,,,adrenoleukodystrophy tree,Malignant neoplasm of lung,C0242379
2520,adrenal tumor,Neoplastic Process,2520,83,,,,,,health education for diabetes,Adrenal Gland Neoplasms,C0001624
2552,stomach neoplasms,Neoplastic Process,2552,115,,,,,,dna worksheet,Stomach Neoplasms,C0038356
2622,acute lymphocytic leukemia,Neoplastic Process,2622,185,,,,,,unii,Acute lymphocytic leukemia,C0023449
2652,brain tumor,Neoplastic Process,12,,,,,,,horrors of war,Brain Neoplasms,C0006118
2656,cancer,Neoplastic Process,16,,,,,,,pubmed labs,Malignant Neoplasms,C0006826
2765,gastric carcinoma,Neoplastic Process,125,,,,,,,factitious disorder,Stomach Carcinoma,C0699791
2774,sarcoma,Neoplastic Process,134,,,,,,,mrconso,Sarcoma,C1261473
2777,cancer,Neoplastic Process,137,,,,,,,syk,Malignant Neoplasms,C0006826
65,cervical cancer,Neoplastic Process,,,,,,,,abergel dutpase,Malignant tumor of cervix,C0007847
81,leukemia,Neoplastic Process,,,,,,,,cp review,leukemia,C0023418
124,cancer,Neoplastic Process,,,,,,,,ijar,Malignant Neoplasms,C0006826
136,squamous cell carcinoma,Neoplastic Process,,,,,,,,miopia,Squamous cell carcinoma,C0007137
148,bone tumors,Neoplastic Process,,,,,,,,dekubitus,Bone neoplasms,C0005967
161,colonic neoplasms,Neoplastic Process,,,,,,,,acral melanoma,Colonic Neoplasms,C0009375
526,nucleotide,"Nucleic Acid, Nucleoside, or Nucleotide",526,526,526,526,526,526,526,nucelotide,Nucleotides,C0028630
1047,nucleotide,"Nucleic Acid, Nucleoside, or Nucleotide",1047,1047,1047,1047,1047,1047,1047,nucleatide,Nucleotides,C0028630
1051,nucleotide,"Nucleic Acid, Nucleoside, or Nucleotide",1051,1051,1051,1051,1051,1051,1051,nuceotide,Nucleotides,C0028630
1194,ebers,"Nucleic Acid, Nucleoside, or Nucleotide",1194,1194,1194,1194,1194,1194,1194,lebers,Epstein-Barr Virus Early RNA,C3830308
1274,nucleotide,"Nucleic Acid, Nucleoside, or Nucleotide",1274,1274,1274,1274,1274,1274,1274,neucleotide,Nucleotides,C0028630
1737,circulating microrna,"Nucleic Acid, Nucleoside, or Nucleotide",1737,1737,1737,1737,1737,1737,1,circulating micro rna,Circulating MicroRNA,C4055233
1923,aptamer,"Nucleic Acid, Nucleoside, or Nucleotide",1923,1923,1923,1923,1923,58,,takotsubo,aptamer,C0599013
2058,aptamer,"Nucleic Acid, Nucleoside, or Nucleotide",2058,2058,2058,2058,73,,,interleukin 6,aptamer,C0599013
2214,primer,"Nucleic Acid, Nucleoside, or Nucleotide",2214,2214,2214,117,,,,toxnet,Oligonucleotide Primers,C0206415
282,long noncoding rna,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance",282,282,282,282,282,282,282,long nocoding rna,"RNA, Long Untranslated",C3494264
1750,citicoline,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",1750,1750,1750,1750,1750,1750,14,citacoline,Citicoline,C0010725
