AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
national drug code,National drug codes - CodeSystem,Intellectual Product,C1547159,,,
ndfrt,National Drug File - Reference Terminology,Intellectual Product,C1371271,,,
nemsis,National Emergency Medical Services Information System (NEMSIS),Intellectual Product,C3262146,,,
national eye institute,National Eye Institute (U.S.),Health Care Related Organization,C1955969,,,
nei,National Eye Institute (U.S.),Health Care Related Organization,C1955969,,,
nhanes,National Health and Nutrition Examination Survey,Research Activity,C0376344,,,
nhlbi,"National Heart, Lung, and Blood Institute (U.S.)",Health Care Related Organization,C1955970,,,
niosh,National Institute for Occupational Safety and Health (U.S.),Health Care Related Organization,C0027463,,,
niaid,National Institute of Allergy and Infectious Diseases (U.S.),Health Care Related Organization,C1513895,,,
niams,National Institute of Arthritis and Musculoskeletal and Skin Diseases (U.S.),Health Care Related Organization,C1955976,,,
nichd,National Institute of Child Health and Human Development (U.S.),Health Care Related Organization,C1513896,,,
nci_nichd,National Institute of Child Health and Human Development Terminology,Intellectual Product,C3826809,,,
niddk,National Institute of Diabetes and Digestive and Kidney Diseases (U.S.),Health Care Related Organization,C1513898,,,
nimh,National Institute of Mental Health (U.S.),Health Care Related Organization,C0027466,,,
ninds,National Institute of Neurological Disorders and Stroke (U.S.),Health Care Related Organization,C2350584,,,
national institute on aging,National Institute on Aging (U.S.),Health Care Related Organization,C1955974,,,
niaaa,National Institute on Alcohol Abuse and Alcoholism (U.S.),Health Care Related Organization,C1955975,,,
national library of medicine,National Library of Medicine (U.S.),Health Care Related Organization,C0027470,,,
nlm,National Library of Medicine (U.S.),Health Care Related Organization,C0027470,,,
nrsa,National Research Service Awards,Governmental or Regulatory Activity,C1513904,,,
native american healing,Native American Healing,Therapeutic or Preventive Procedure,C0886378,,,
american indian health,Native American Health,Group Attribute,C1456665,,,
native american health,Native American Health,Group Attribute,C1456665,,,
native american,Native Americans,Population Group,C0282204,,,
native americans,Native Americans,Population Group,C0282204,,,
native voices,Native Voices,Product-LO-Exhibit,,,,
natrecor,Natrecor,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C1170421,,,
probnp,Natriuretic Peptides B,"Amino Acid, Peptide, or Protein|Hormone",C1317554,,,
b-natriuretic peptide,Natriuretic Peptides B,"Amino Acid, Peptide, or Protein|Hormone",C1317554,,,
natto,Natto,Food,C1258093,,,
nattokinase,nattokinase,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",C0131956,,,
acne natural solution,Natural Acne Solutions,Organic Chemical|Pharmacologic Substance,C2961654,,,
natural birth,Natural Birth,Organism Function,C2985348,,,
natural births,Natural Birth,Organism Function,C2985348,,,
natural childbirth,Natural Childbirth assistance,Health Care Activity,C0027484,,,
natural disaster,Natural Disasters,Natural Phenomenon or Process,C0027485,,,
natural disasters,Natural Disasters,Natural Phenomenon or Process,C0027485,,,
natural family planning,Natural Family Planning Methods,Therapeutic or Preventive Procedure,C1256761,,,
natural gas,Natural Gas,Substance,C0017109,,,
immunosupression,Natural immunosuppression,Organism Function,C0021080,,,
natural killers,Natural killer,Cell,C2709199,,,
nk,Natural Killer Cells,Cell,C0022688,,,
nk cell,Natural Killer Cells,Cell,C0022688,,,
nk cells,Natural Killer Cells,Cell,C0022688,,,
natural language processing,Natural Language Processing,Machine Activity,C0027489,,,
natural products,Natural Products,Biologically Active Substance,C1566558,,,
natural product,Natural Products,Biologically Active Substance,C1566558,,,
regeneration,Natural regeneration,Organ or Tissue Function,C0034963,,,
natural selection,Natural Selection,Natural Phenomenon or Process,C0086685,,,
nature,Nature,Idea or Concept,C0349590,,,
nature and nurture,nature nurture,Idea or Concept,C0683237,,,
nature communication,Nature of communication,Qualitative Concept,C0449785,,,
nature communications,Nature of communication,Qualitative Concept,C0449785,,,
in natura,Naturon,Organic Chemical|Pharmacologic Substance,C4082797,,,
naturopath,Naturopath,Professional or Occupational Group,C1554658,,,
naturopathic,Naturopathy,Therapeutic or Preventive Procedure,C0027495,,,
naturopathic medicine,Naturopathy,Therapeutic or Preventive Procedure,C0027495,,,
naturopathy,Naturopathy,Therapeutic or Preventive Procedure,C0027495,,,
nr,Nauru,Geographic Area,C0027496,,,
nausea,Nausea,Sign or Symptom,C0027497,,,
nauseous,Nausea,Sign or Symptom,C0027497,,,
nausea and vomiting,Nausea and vomiting,Sign or Symptom,C0027498,,,
nautilidae,Nautilidae,Eukaryote,C1093198,,,
navajo,Navaho (ethnic group),Population Group,C0337879,,,
nav,Navajo language,Language,C0574545,,,
navicular syndrome,Navicular syndrome,Disease or Syndrome,C3670073,,,
nazi,Nazis,Group,C0949876,,,
nb001,NB001,Organic Chemical|Pharmacologic Substance,C4045526,,,
ncbi,NCBI Taxonomy,Intellectual Product,C0995203,,,
ncbi taxonomy,NCBI Taxonomy,Intellectual Product,C0995203,,,
nci_cdisc,NCI - Clinical Data Interchange Standards Consortium,Intellectual Product,C3826820,,,
concept code,NCI Concept Code,Intellectual Product,C1705251,,,
nci_dtp,NCI Developmental Therapeutics Program,Intellectual Product,C3826816,,,
nci_nci-gloss,NCI Dictionary of Cancer Terms,Intellectual Product,C3826824,,,
nci_dcp,NCI Division of Cancer Prevention Program,Intellectual Product,C3826817,,,
nci_nci-hl7,NCI Health Level 7,Intellectual Product,C3826814,,,
nci thesaurus,NCI Thesaurus,Intellectual Product,C1140168,,,
ncit,NCI Thesaurus,Intellectual Product,C1140168,,,
wish,NCKIPSD gene,Gene or Genome,C1423524,,,
ncr1,NCR1 gene,Gene or Genome,C1416941,,,
nkp46,"NCR1 protein, human","Receptor|Amino Acid, Peptide, or Protein",C0674917,,,
nicastrin,NCSTN gene,Gene or Genome,C1538050,,,
nde,NDE1 gene,Gene or Genome,C1425014,,,
ndnqi,NDNQI,Intellectual Product,C3700032,,,
ndrg2,NDRG2 gene,Gene or Genome,C1422666,,,
ndrg4,NDRG4 gene,Gene or Genome,C1422672,,,
ndufaf6,NDUFAF6 gene,Gene or Genome,C1824247,,,
ndufs7,NDUFS7 gene,Gene or Genome,C1417650,,,
neanderthal,Neanderthals,Mammal,C3178755,,,
neanderthals,Neanderthals,Mammal,C3178755,,,
near drowning,Near Drowning,Injury or Poisoning,C0027516,,,
near miss,Near miss,Finding,C4036025,,,
near death experience,Near-Death Experience,Mental Process,C0282124,,,
near point of accommodation,Near-Point Accommodation,Finding,C4684542,,,
neat1,NEAT1 gene,Gene or Genome,C2681866,,,
nebivolol,nebivolol,Organic Chemical|Pharmacologic Substance,C0068475,,,
nebivolol 5 mg,nebivolol 5 MG,Clinical Drug,C1306211,,,
nebivolol amlodipine,nebivolol and amlodipine,Pharmacologic Substance,C3871438,,,
nebulette,NEBL gene,Gene or Genome,C1538053,,,
ne,Nebraska (geographic location),Geographic Area,C0027523,,,
nebulin,nebulin,"Amino Acid, Peptide, or Protein",C0068477,,,
nebulization,nebulisation,Therapeutic or Preventive Procedure,C1659427,,,
nebulized,nebulized body site,Body Location or Region,C1549531,,,
nebulizer,Nebulizers,Medical Device,C0027524,,,
nebulizers,Nebulizers,Medical Device,C0027524,,,
necitumumab,necitumumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C2352806,,,
cervical,Neck,Body Location or Region,C0027530,,,
neck,Neck,Body Location or Region,C0027530,,,
neck muscle weakness,Neck muscle weakness,Finding,C0240479,,,
neck tumors,Neck Neoplasms,Neoplastic Process,C0027533,,,
cervical pain,Neck Pain,Sign or Symptom,C0007859,,,
cervicalgia,Neck Pain,Sign or Symptom,C0007859,,,
neck pain,Neck Pain,Sign or Symptom,C0007859,,,
stiff neck,Neck stiffness,Sign or Symptom,C0151315,,,
necon 1/35,Necon 1/35,Clinical Drug,C0722007,,,
necrobiosis lipoidica,Necrobiosis Lipoidica,Disease or Syndrome,C0027538,,,
necroptosis,necroptotic process,Cell Function,C2610958,,,
necrosis,Necrosis,Organ or Tissue Function,C0027540,,,
necrotic,Necrosis,Organ or Tissue Function,C0027540,,,
necrotizing enterocolitis,Necrotizing Enterocolitis,Disease or Syndrome,C0520459,,,
necrotizing fasciitis,Necrotizing fasciitis,Disease or Syndrome,C0238124,,,
necrotizing fascitis,Necrotizing fasciitis,Disease or Syndrome,C0238124,,,
necrotizing lymphadenitis,Necrotizing lymphadenitis,Disease or Syndrome,C2959480,,,
prr,NECTIN1 gene,Gene or Genome,C1419142,,,
nedaplatin,nedaplatin,Organic Chemical|Pharmacologic Substance,C0093999,,,
nedd1,NEDD1 gene,Gene or Genome,C1417657,,,
nedd8,NEDD8 gene,Gene or Genome,C1417663,,,
nedd9,NEDD9 gene,Gene or Genome,C1417664,,,
needle biopsy of breast,Needle biopsy of breast,Diagnostic Procedure,C0177666,,,
needle disposal,needle disposal,Health Care Activity,C0683540,,,
needles phobia,Needle phobia,Mental or Behavioral Dysfunction,C0338906,,,
needle exchange programs,Needle-Exchange Programs,Therapeutic or Preventive Procedure,C0242883,,,
needle stick,Needlestick Injuries,Injury or Poisoning,C0085178,,,
needle stick injuries,Needlestick Injuries,Injury or Poisoning,C0085178,,,
needle stick injury,Needlestick Injuries,Injury or Poisoning,C0085178,,,
needlestick,Needlestick Injuries,Injury or Poisoning,C0085178,,,
needlestick injuries,Needlestick Injuries,Injury or Poisoning,C0085178,,,
need,Needs,Qualitative Concept,C0027552,,,
needs,Needs,Qualitative Concept,C0027552,,,
nefazodone,nefazodone,Organic Chemical|Pharmacologic Substance,C0068485,,,
negamycin,negamycin,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0068488,,,
the negative,Negative,Finding,C0205160,,,
negative contrast media,Negative contrast media,"Indicator, Reagent, or Diagnostic Aid",C1285533,,,
anti-apoptosis,Negative Regulation of Apoptosis,Cell Function,C1512772,,,
left sided neglect,Neglect of left side of body,Finding,C0576479,,,
child neglect,neglected child finding,Finding,C0553726,,,
neglect on children,neglected child finding,Finding,C0553726,,,
negligence,Negligence,Qualitative Concept,C0027564,,,
negri bodies,Negri Body,Cell Component,C0242351,,,
neisseria,Neisseria,Bacterium,C0027571,,,
n gonorrhoeae,Neisseria gonorrhoeae,Bacterium,C0027573,,,
neisseria gonorrhoeae,Neisseria gonorrhoeae,Bacterium,C0027573,,,
neisseria meningitis,neisseria meningitides,Bacterium,C1576765,,,
meningococcus,Neisseria meningitidis,Bacterium,C0027575,,,
neisseria meningitidis,Neisseria meningitidis,Bacterium,C0027575,,,
th1,NELFCD gene,Gene or Genome,C1423842,,,
nelson,Nelson Syndrome,Neoplastic Process,C0027577,,,
neo,Neo drug trade name,Pharmacologic Substance,C0470991,,,
neosynephrine,Neo-Synephrine,Organic Chemical|Pharmacologic Substance,C0702190,,,
neoadjuvant,Neoadjuvant Therapy,Therapeutic or Preventive Procedure,C0600558,,,
neoantigen,Neoantigen,Immunologic Factor,C0312555,,,
neobeguea,Neobeguea,Plant,C1483234,,,
npd,neodymium pyrocatechin disulfonate,Organic Chemical,C0068515,,,
neomycin,Neomycin,Organic Chemical|Antibiotic,C0027603,,,
neomycin allergy,Neomycin allergy,Disease or Syndrome,C0571380,,,
neonatal abstinence syndrome,Neonatal Abstinence Syndrome,Disease or Syndrome,C0027609,,,
neonatal withdrawal syndrome,Neonatal Abstinence Syndrome,Disease or Syndrome,C0027609,,,
newborn dehydration,Neonatal dehydration,Disease or Syndrome,C0270229,,,
exchange transfusion newborn,Neonatal exchange transfusion,Therapeutic or Preventive Procedure,C0371803,,,
neonatal hair,Neonatal hair appearance,Finding,C0423843,,,
neonatal hypoglycaemia,Neonatal hypoglycemia,Disease or Syndrome,C0158986,,,
neonatal hypoglycemia,Neonatal hypoglycemia,Disease or Syndrome,C0158986,,,
neonatal infection,Neonatal infection,Disease or Syndrome,C0854706,,,
newborn infection,Neonatal infection,Disease or Syndrome,C0854706,,,
intensive care neonatal,Neonatal Intensive Care,Health Care Activity,C0021711,,,
jaundice of newborn,Neonatal Jaundice,Disease or Syndrome,C0022353,,,
neonatal jaundice,Neonatal Jaundice,Disease or Syndrome,C0022353,,,
newborn and jaundice,Neonatal Jaundice,Disease or Syndrome,C0022353,,,
breast milk jaundice,Neonatal jaundice due to delayed conjugation from breast milk inhibitor,Pathologic Function,C0270215,,,
late onset neonatal sepsis,Neonatal Late-Onset Sepsis,Disease or Syndrome,C1096721,,,
neonatal meningitis,Neonatal meningitis,Disease or Syndrome,C0456107,,,
neonatal mortality,Neonatal Mortality,Quantitative Concept,C0027616,,,
neonatal nurse practitioners,Neonatal Nurse Practitioner,Professional or Occupational Group,C1552264,,,
neonatal pulmonary hemorrhage,Neonatal pulmonary hemorrhage,Pathologic Function,C1390281,,,
osteopenia of prematurity,Neonatal rickets,Disease or Syndrome,C0456126,,,
osteopenia prematurity,Neonatal rickets,Disease or Syndrome,C0456126,,,
neonatal screening,Neonatal Screening,Therapeutic or Preventive Procedure,C0027617,,,
newborn screening,Neonatal Screening,Therapeutic or Preventive Procedure,C0027617,,,
lupus neonatal,Neonatal Systemic lupus erythematosus,Disease or Syndrome,C0409979,,,
neonatal thrombocytopenia,Neonatal thrombocytopenia (disorder),Disease or Syndrome,C0221028,,,
neonatology,Neonatology,Biomedical Occupation or Discipline,C0027621,,,
neonectria,Neonectria,Fungus,C1067883,,,
neonicotinoids,Neonicotinoids,Organic Chemical,C4505166,,,
metastases,Neoplasm Metastasis,Neoplastic Process,C0027627,,,
metastasis,Neoplasm Metastasis,Neoplastic Process,C0027627,,,
metastatic cancer,Neoplasm Metastasis,Neoplastic Process,C0027627,,,
metastatic disease,Neoplasm Metastasis,Neoplastic Process,C0027627,,,
ampullary tumors,Neoplasm of ampulla of Vater,Neoplastic Process,C0345916,,,
tumor tail of pancreas,Neoplasm of tail of pancreas,Neoplastic Process,C0345927,,,
tumors tail of pancreas,Neoplasm of tail of pancreas,Neoplastic Process,C0345927,,,
minimal residual disease,"Neoplasm, Residual",Neoplastic Process,C0242596,,,
neoplasia,Neoplasms,Neoplastic Process,C0027651,,,
neoplasias,Neoplasms,Neoplastic Process,C0027651,,,
neoplasm,Neoplasms,Neoplastic Process,C0027651,,,
neoplasms,Neoplasms,Neoplastic Process,C0027651,,,
oncology,Neoplasms,Neoplastic Process,C0027651,,,
tumor,Neoplasms,Neoplastic Process,C0027651,,,
tumors,Neoplasms,Neoplastic Process,C0027651,,,
tumour,Neoplasms,Neoplastic Process,C0027651,,,
neoplastons,Neoplasta,Eukaryote,C1215165,,,
oncogenesis,Neoplastic Cell Transformation,Neoplastic Process,C0007621,,,
tumorigenesis,Neoplastic Cell Transformation,Neoplastic Process,C0007621,,,
neoplastic process,Neoplastic Processes,Neoplastic Process,C0027671,,,
tumor stem cell,Neoplastic Stem Cells,Cell,C1956421,,,
neoral,Neoral,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0699605,,,
neosporin,Neosporin,Organic Chemical|Antibiotic,C0068536,,,
neovascularization physiologic,"Neovascularization, Physiologic",Physiologic Function,C0282546,,,
nepafenac,nepafenac,Organic Chemical|Pharmacologic Substance,C0961209,,,
nepafenac ophthalmic,nepafenac ophthalmic,Organic Chemical|Pharmacologic Substance,C1657005,,,
nepal,Nepal,Geographic Area,C0027689,,,
nepal on,Nepal,Geographic Area,C0027689,,,
nepali,Nepali language,Language,C0027690,,,
catnip,Nepeta,Plant,C0331302,,,
nephrectomy,Nephrectomy,Therapeutic or Preventive Procedure,C0027695,,,
nephritic syndrome,Nephritic syndrome,Disease or Syndrome,C0268732,,,
nephritis,Nephritis,Disease or Syndrome,C0027697,,,
interstitial nephritis,"Nephritis, Interstitial",Disease or Syndrome,C0027707,,,
nephroblastoma,Nephroblastoma,Neoplastic Process,C0027708,,,
wilms,Nephroblastoma,Neoplastic Process,C0027708,,,
wilms tumor,Nephroblastoma,Neoplastic Process,C0027708,,,
perlman syndrome,"Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor",Disease or Syndrome,C0796113,,,
nephrogenic systemic fibrosis,Nephrogenic Fibrosing Dermopathy,Disease or Syndrome,C1619692,,,
percutaneous nephrolithotomy,"Nephrolithotomy, Percutaneous",Therapeutic or Preventive Procedure,C0162428,,,
nephrologist,Nephrologists,Professional or Occupational Group,C0260039,,,
nephrology nursing,Nephrology Nursing,Biomedical Occupation or Discipline,C0557539,,,
nephrology,Nephrology Speciality,Biomedical Occupation or Discipline,C0027712,,,
nephronophthisis,Nephronophthisis,Disease or Syndrome,C0687120,,,
nephron,Nephrons,"Body Part, Organ, or Organ Component",C0027713,,,
nephrotic syndrome,Nephrotic Syndrome,Disease or Syndrome,C0027726,,,
nephrotic syndrome in children,Nephrotic syndrome in children,Disease or Syndrome,C3825926,,,
nephrotoxicity,Nephrotoxicity,Injury or Poisoning,C0599918,,,
neprilysin,Neprilysin,"Amino Acid, Peptide, or Protein|Enzyme",C0025250,,,
nerium,Nerium (plant),Plant,C0331095,,,
nerol,nerol,Organic Chemical,C0888799,,,
nerve,Nerve,"Body Part, Organ, or Organ Component",C0027740,,,
nerves,Nerve,"Body Part, Organ, or Organ Component",C0027740,,,
nerve block,Nerve Block,Therapeutic or Preventive Procedure,C0027741,,,
nerve conduction study,Nerve conduction study,Diagnostic Procedure,C0200125,,,
ncv,Nerve Conduction Velocity Test,Diagnostic Procedure,C2982003,,,
neurodegeneration,Nerve Degeneration,Cell or Molecular Dysfunction,C0027746,,,
nerve growth factor,Nerve Growth Factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0027752,,,
ngf,Nerve Growth Factor,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0027752,,,
nerve damage,Nerve injury,Injury or Poisoning,C0161479,,,
nerve injury,Nerve injury,Injury or Poisoning,C0161479,,,
nerve pain,Nerve Pain,Sign or Symptom,C0751372,,,
paralysis nerve,Nerve paralysis,Disease or Syndrome,C0262576,,,
nerve regeneration,Nerve Regeneration,Cell Function,C0027756,,,
nerve root,Nerve root structure,"Body Part, Organ, or Organ Component",C0228084,,,
nervonic acid,nervonic acid,Organic Chemical,C0068570,,,
nervous disorders,nervous system disorder,Disease or Syndrome,C0027765,,,
nervous system diseases,nervous system disorder,Disease or Syndrome,C0027765,,,
neurologic diseases,nervous system disorder,Disease or Syndrome,C0027765,,,
neurological diseases,nervous system disorder,Disease or Syndrome,C0027765,,,
neurological disorders,nervous system disorder,Disease or Syndrome,C0027765,,,
nerve diseases,nervous system disorder,Disease or Syndrome,C0027765,,,
nervous system disease,nervous system disorder,Disease or Syndrome,C0027765,,,
neurological disease,nervous system disorder,Disease or Syndrome,C0027765,,,
neurological implants,Nervous system implant,Medical Device,C0581286,,,
nervous system,Nervous system structure,Body System,C0027763,,,
nervous systems,Nervous system structure,Body System,C0027763,,,
the nervous system,Nervous system structure,Body System,C0027763,,,
nervous,Nervousness,Sign or Symptom,C0027769,,,
nervousness,Nervousness,Sign or Symptom,C0027769,,,
nesidioblastosis,Nesidioblastosis,Disease or Syndrome,C0027773,,,
bnp,Nesiritide,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",C0054015,,,
brain natriuretic peptide,Nesiritide,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",C0054015,,,
nesiritide,Nesiritide,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",C0054015,,,
nestin,nestin protein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0068575,,,
ngp,Nestor Guillermo progeria syndrome,Disease or Syndrome,C3151446,,,
holland,Netherlands,Geographic Area,C0027778,,,
netilmicin,Netilmicin,Organic Chemical|Antibiotic,C0027780,,,
netrin-1,netrin-1,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0258174,,,
neupogen,Neupogen,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0733468,,,
neupro,Neupro,Organic Chemical|Pharmacologic Substance,C1949346,,,
neural,neural,Functional Concept,C3714606,,,
ncam,Neural Cell Adhesion Molecules,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0282587,,,
neural crest,Neural Crest,Embryonic Structure,C0027789,,,
nerve stem cell,Neural Stem Cells,Cell,C1113654,,,
neural stem cell,Neural Stem Cells,Cell,C1113654,,,
neural tube,Neural tube,Embryonic Structure,C0231024,,,
neural tube defect,Neural Tube Defects,Congenital Abnormality,C0027794,,,
neural tube defects,Neural Tube Defects,Congenital Abnormality,C0027794,,,
neuralgia,Neuralgia,Sign or Symptom,C0027796,,,
neuropathic pain,Neuralgia,Sign or Symptom,C0027796,,,
beard,Neurasthenia,Mental or Behavioral Dysfunction,C0027804,,,
neurasthenia,Neurasthenia,Mental or Behavioral Dysfunction,C0027804,,,
neuregulin-1,Neuregulin 1,"Amino Acid, Peptide, or Protein|Enzyme",C0626201,,,
ndf,Neuregulins,"Amino Acid, Peptide, or Protein|Hormone",C0752253,,,
neurinoma,Neurilemmoma,Neoplastic Process,C0027809,,,
schwannoma,Neurilemmoma,Neoplastic Process|Neoplastic Process,C0027809,,,
neuritis,Neuritis,Disease or Syndrome,C0027813,,,
saphenous neuritis,Neuritis of saphenous nerve,Disease or Syndrome,C1998281,,,
neuroanatomy,Neuroanatomy,Biomedical Occupation or Discipline,C0027816,,,
neurobiology,Neurobiology,Biomedical Occupation or Discipline,C0027817,,,
neurobion,Neurobion,Organic Chemical|Vitamin|Pharmacologic Substance,C3714646,,,
neuroblastoma,Neuroblastoma,Neoplastic Process,C0027819,,,
nccs,Neuroblastoma Children's Cancer Society,Health Care Related Organization,C1518269,,,
brain cysticercosis,Neurocysticercosis,Disease or Syndrome,C0338437,,,
neurocysticercosis,Neurocysticercosis,Disease or Syndrome,C0338437,,,
neurodegenerative diseases,Neurodegenerative Disorders,Disease or Syndrome,C0524851,,,
neurodegenerative disorders,Neurodegenerative Disorders,Disease or Syndrome,C0524851,,,
neurodegenerative disease,Neurodegenerative Disorders,Disease or Syndrome,C0524851,,,
neurodermatitis,Neurodermatitis,Disease or Syndrome,C0027822,,,
neurodevelopment,neurodevelopment,Organ or Tissue Function,C0599855,,,
pnet,"Neuroectodermal Tumor, Primitive",Neoplastic Process,C0206663,,,
neuroendocrine tumor,Neuroendocrine Tumors,Neoplastic Process,C0206754,,,
neuroendocrine tumors,Neuroendocrine Tumors,Neoplastic Process,C0206754,,,
neurofeedback,Neurofeedback,Therapeutic or Preventive Procedure,C2713543,,,
neurofibroma,neurofibroma,Neoplastic Process,C0027830,,,
neurofibromatosis,Neurofibromatosis 1,Neoplastic Process,C0027831,,,
neurofibromatosis type 1,Neurofibromatosis 1,Neoplastic Process,C0027831,,,
neurofibromatosis type i,Neurofibromatosis 1,Neoplastic Process,C0027831,,,
nf1,Neurofibromatosis 1,Neoplastic Process,C0027831,,,
neurofibromatosis 2,Neurofibromatosis 2,Neoplastic Process,C0027832,,,
neurofibromatosis type 2,Neurofibromatosis 2,Neoplastic Process,C0027832,,,
nf2,Neurofibromatosis 2,Neoplastic Process,C0027832,,,
neurofibromin 1,Neurofibromatosis Type 1 Protein,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0083725,,,
legius syndrome,"NEUROFIBROMATOSIS, TYPE 1-LIKE SYNDROME",Disease or Syndrome,C1969623,,,
nflp,Neurofilament Light Chain Protein Measurement,Laboratory Procedure,C4553158,,,
nfp,Neurofilament Proteins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0085418,,,
neurogenesis,Neurogenesis,Organism Function,C0814002,,,
neural development,Neurogenesis,Organism Function,C0814002,,,
neurogenic shock,Neurogenic shock (disorder),Pathologic Function,C0544617,,,
neurogenic and bladder,Neurogenic Urinary Bladder,Disease or Syndrome,C0005697,,,
neurogenic bladder,Neurogenic Urinary Bladder,Disease or Syndrome,C0005697,,,
neuroglia,Neuroglia,Cell,C0027836,,,
neurohormones,Neurohormones,Hormone,C0597049,,,
neuroimaging,Neuroimaging,Diagnostic Procedure,C0679575,,,
neuroimmunomodulation,Neuroimmunomodulation,Organism Function,C0027842,,,
neuroleptic malignant syndrome,Neuroleptic Malignant Syndrome,Disease or Syndrome,C0027849,,,
nms,Neuroleptic Malignant Syndrome,Disease or Syndrome,C0027849,,,
neurolinguistic programming,Neurolinguistic Programming,Intellectual Product,C0683473,,,
neurolinguistics,neurolinguistics,Occupation or Discipline,C0870954,,,
neurologic,Neurologic (qualifier value),Qualitative Concept,C0205494,,,
neurological assessment,Neurologic Examination,Diagnostic Procedure,C0027853,,,
neurological disability,neurological disability,Sign or Symptom,C0848771,,,
neurological lesions,Neurological lesion,Finding,C0576488,,,
neurological physiotherapy,Neurological Physiotherapy,Therapeutic or Preventive Procedure,C4042764,,,
neurological rehabilitation,Neurological Rehabilitation,Therapeutic or Preventive Procedure,C0204096,,,
neurorehabilitation,Neurological Rehabilitation,Therapeutic or Preventive Procedure,C0204096,,,
neurologist,Neurologists,Professional or Occupational Group,C0237426,,,
the neurologist,Neurologists,Professional or Occupational Group,C0237426,,,
neuro,Neurology speciality,Biomedical Occupation or Discipline,C0027855,,,
neurologies,Neurology speciality,Biomedical Occupation or Discipline,C0027855,,,
neurology,Neurology speciality,Biomedical Occupation or Discipline,C0027855,,,
neuroma,Neuroma,Neoplastic Process,C0027858,,,
nmn,"Neuromedin N, human","Amino Acid, Peptide, or Protein|Biologically Active Substance",C4283741,,,
neuromuscular,Neuromuscular,Qualitative Concept,C1979768,,,
neuromuscular blockers,Neuromuscular Blocking Agents,Pharmacologic Substance,C0027866,,,
neuromuscular blocking agents,Neuromuscular Blocking Agents,Pharmacologic Substance,C0027866,,,
neuromuscular disorders,Neuromuscular Diseases,Disease or Syndrome,C0027868,,,
nmes,Neuromuscular Electrical Stimulation,Therapeutic or Preventive Procedure,C2985393,,,
neuromuscular fatigue,Neuromuscular fatigue,Organ or Tissue Function,C0234116,,,
monitoring neuromuscular,Neuromuscular Monitoring,Therapeutic or Preventive Procedure,C3494225,,,
neuromuscular stimulation,Neuromuscular stimulation,Therapeutic or Preventive Procedure,C0454448,,,
neuromyelitis optica,Neuromyelitis Optica,Disease or Syndrome,C0027873,,,
neuronal cell death,neuron death,Cell Function,C2754100,,,
nse,Neuron specific enolase measurement,Laboratory Procedure,C0202144,,,
neuronal ceroid lipofuscinosis,Neuronal Ceroid-Lipofuscinoses,Disease or Syndrome,C0027877,,,
intestinal neuronal dysplasia,Neuronal intestinal dysplasia,Disease or Syndrome,C0345244,,,
neuronal plasticity,Neuronal Plasticity,Organ or Tissue Function,C0027880,,,
neuroplasticity,Neuronal Plasticity,Organ or Tissue Function,C0027880,,,
plasticity neuronal,Neuronal Plasticity,Organ or Tissue Function,C0027880,,,
synaptic plasticity,Neuronal Plasticity,Organ or Tissue Function,C0027880,,,
neuron,Neurons,Cell,C0027882,,,
neurone,Neurons,Cell,C0027882,,,
neurons,Neurons,Cell,C0027882,,,
neurontin,Neurontin,Organic Chemical|Pharmacologic Substance,C0678176,,,
neuropathology,Neuropathology,Biomedical Occupation or Discipline,C0876934,,,
neuropathy,Neuropathy,Disease or Syndrome,C0442874,,,
neuropathies,Neuropathy,Disease or Syndrome,C0442874,,,
progressive neuropathy,NEUROPATHY PROGRESSIVE,Disease or Syndrome,C0746875,,,
neuropeptide,Neuropeptides,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0027895,,,
clinics neurophysiology,Neurophysiology clinic,Health Care Related Organization|Manufactured Object,C3840071,,,
neuroprotection,Neuroprotection,Cell Function,C0598958,,,
neuropsychiatry,Neuropsychiatry,Biomedical Occupation or Discipline,C0870956,,,
neuropsychology,Neuropsychology,Biomedical Occupation or Discipline,C0027903,,,
neuropsychopharmacology,Neuropsychopharmacology,Biomedical Occupation or Discipline,C1537034,,,
neurosarcoidosis,Neurosarcoidosis,Disease or Syndrome,C0393485,,,
neuroscience,Neuroscience discipline,Biomedical Occupation or Discipline,C0027910,,,
